business_id,name,schools,open,category,subcategory,is_vegetarian,review_count,stars,neighborhoods,url,photo_url,city,state,latitude,longitude,is_popular
__EmsZiRXiUmljbfpOqZig,Awful Arthur's Seafood Co,Virginia Tech,no,Restaurant,Seafood,no,11,2.5,Virginia Tech,http://www.yelp.com/biz/awful-arthurs-seafood-co-blacksburg,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Blacksburg,VA,37.2283389,-80.4142281,0
__rO-3gkVgaHRH158jA8OA,Providence Cookie Co,Brown University,yes,Delis,American,no,2,4.5,DownCity,http://www.yelp.com/biz/providence-cookie-co-providence,http://s3-media4.ak.yelpcdn.com/bphoto/-z2imOce7WoPopy6N32gUw/ms.jpg,Providence,RI,41.8233251,-71.4098445,1
_--ScmaNumIoT2gQanACvg,Desi Dhaba,Massachusetts Institute of Technology,yes,Restaurant,Indian,no,94,3,Central Square,http://www.yelp.com/biz/desi-dhaba-cambridge,http://s3-media4.ak.yelpcdn.com/bphoto/kFtkLoFRVLdUD1mMmxiW8Q/ms.jpg,Cambridge,MA,42.363567,-71.1005322,0
_-460MubqIbfKr11xjItvA,China Legend,University of Waterloo,yes,Restaurant,Chinese,no,2,3.5,University of Waterloo,http://www.yelp.ca/biz/china-legend-waterloo,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Waterloo,ON,43.4718821,-80.5367967,0
_-8xEz7AdXwKp3QnAehGHA,Main Street Eatery & Gourmet Bakery,Princeton University,yes,Patisserie,Bakeries,no,17,4,Princeton University,http://www.yelp.com/biz/main-street-eatery-and-gourmet-bakery-kingston-2,http://s3-media1.ak.yelpcdn.com/bphoto/Iw-qjz3N4F1u2Kw_WuHsHw/ms.jpg,Kingston,NJ,40.374882,-74.615693,0
_-geiJ4fu7bZDb-YQ1A6Nw,Toscanini & Sons,Massachusetts Institute of Technology,yes,Patisserie,Bakeries,no,2,4,Kendall Square/MIT,http://www.yelp.com/biz/toscanini-and-sons-cambridge,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Cambridge,MA,42.3636778,-71.0823831,1
_-NeBiPBmm8nf-Eq7_o0_A,Starbucks,Massachusetts Institute of Technology,yes,Cafes,Beverages,no,14,4,Kendall Square/MIT,http://www.yelp.com/biz/starbucks-cambridge-16,http://s3-media4.ak.yelpcdn.com/bphoto/u77Oc-PimU1CIZgyBwni8w/ms.jpg,Cambridge,MA,42.3631506,-71.085664,0
_1itCzaA3bDVdPSwNCNPtA,Chili's Grill & Bar,University of Pennsylvania,yes,Restaurant,Tex-Mex,no,24,3,University City,http://www.yelp.com/biz/chilis-grill-and-bar-philadelphia-3,http://s3-media2.ak.yelpcdn.com/bphoto/7Gyv1osW3cbvOYCZOv-2tw/ms.jpg,Philadelphia,PA,39.955642,-75.198948,1
_21B4W3qjnl8lcxDYJE3kw,Lo Porto's,Rensselaer Polytechnic Institute,yes,Restaurant,Italian,no,21,3.5,Rensselaer Polytechnic Institute,http://www.yelp.com/biz/lo-portos-troy,http://s3-media4.ak.yelpcdn.com/bphoto/cdR1-HFvVoq3Zden65TnLA/ms.jpg,Troy,NY,42.730529,-73.689514,1
_2E7DVE_tLxjhDHyZdRIug,zpizza,Harvey Mudd College,yes,Restaurant,Italian,yes,18,4.5,Harvey Mudd College,http://www.yelp.com/biz/zpizza-claremont,http://s3-media2.ak.yelpcdn.com/bphoto/aadbvSP9N4jv4Y2Rona25g/ms.jpg,Claremont,CA,34.0946108,-117.7211348,0
_3zpIUnDykKUAhcMxB2UgQ,Route 66 Diner,Purdue University,yes,Diners,American,no,10,3,Purdue University,http://www.yelp.com/biz/route-66-diner-west-lafayette,http://s3-media2.ak.yelpcdn.com/bphoto/EjUtPjcLEcVDTr5QTa93lA/ms.jpg,West Lafayette,IN,40.4643432,-86.9346372,0
_4CuwHPcNkGgqVp8fbFNdQ,Cupcake Station,University of Michigan - Ann Arbor,yes,Patisserie,Dessert,no,61,3.5,Downtown Ann Arbor,http://www.yelp.com/biz/cupcake-station-ann-arbor,http://s3-media3.ak.yelpcdn.com/bphoto/ud_uLl_-UAnCS9jElR2VNg/ms.jpg,Ann Arbor,MI,42.279354,-83.747726,0
_4UG7DJGGsk5cwQ9LOv-Qw,Bliss Boutique Bakery,University of North Carolina - Chapel Hill,no,Patisserie,Bakeries,no,13,4,University of North Carolina - Chapel Hill,http://www.yelp.com/biz/bliss-boutique-bakery-chapel-hill,http://s3-media4.ak.yelpcdn.com/bphoto/T0lJNPSjWkDqi-eqrbsRIQ/ms.jpg,Chapel Hill,NC,35.910382,-79.062915,1
_5_xjb9WdlGQ9BCnnLPHSg,Twist - Yogurt Without Limits,Princeton University,yes,Patisserie,Dessert,no,53,3.5,Princeton University,http://www.yelp.com/biz/twist-yogurt-without-limits-princeton,http://s3-media1.ak.yelpcdn.com/bphoto/tviqRnEQ7tcGnLtuYC_wyw/ms.jpg,Princeton,NJ,40.349854,-74.660287,1
_5I5EOg495_sYuYI0Iy7YQ,Au Bon Pain,Brown University,yes,Delis,American,no,3,2.5,DownCity,http://www.yelp.com/biz/au-bon-pain-providence-3,http://s3-media1.ak.yelpcdn.com/bphoto/MmFNldxoxnKjGosX4AkvPA/ms.jpg,Providence,RI,41.8245108,-71.4105854,0
_6nCq4wLFggW9p-X253KwA,Le Peep,Rice University,yes,Breakfast,American,no,21,3.5,West University,http://www.yelp.com/biz/le-peep-houston-2,http://s3-media2.ak.yelpcdn.com/bphoto/5nRsRDriSLONdXRCWuA3pg/ms.jpg,Houston,TX,29.71906663,-95.41763306,1
