business_id,review_id,useful,stars,date,talksamb,talksfood,talksprice,talksservice,isambgood,isfoodgood,ispricegood,isservicegood,text
_2E7DVE_tLxjhDHyZdRIug,309Zu1LghT1-XewnjrzBnA,3,4,9/9/2012,1,1,0,0,0,1,0,0,I consumed too much Mountain Dew here and shat my pants a few steps out the door after wrongfully mistaken diarrhea spray for a fart. As I ran to the bathroom and stripped myself of my soiled skinny jeans  I looked down and to my surprise  my shit looked like pure Mountain Dew. I'm not going to point any fingers here and accuse any kind of foul play  but it was a bit too coincidental for my liking. That being said  this place is great and I'd highly recommended their vegan pizza to any idiots like myself that don't be animal. I look forward to returning here again  but next time I'll be fully prepared with any extra set of trousers.
_2E7DVE_tLxjhDHyZdRIug,T1ggsBzQ5FJQMA59G9Jgsg,1,5,6/29/2012,1,1,1,0,0,1,1,0,I tried Zpizza for take-out last night. I'm not a big pizza fan but was having a casual dinner with my husband and another couple  and so decided to try it. The pizza was very  very good! We had ham and pineapple  which I didn't try  but which was completely gone by the end of the meal. We also had sausage and mushroom--only 1 piece left  and I got a wheat crust  basil pesto sauce  chicken sausage with vegetables. It was terrific! I will definitely be back. It reminds me of when I first tried Chipotle for mexican food--the difference was notable and I could feel good about patronizing them. Now I have a place for high quality pizza that is reasonable priced. Thank you Zpizza!
_2E7DVE_tLxjhDHyZdRIug,r-Ql-Mjf6qS8_q4ci1udMA,1,3,5/25/2012,0,1,1,1,0,1,0,1,I originally went to Zpizza because my dining companion was looking for somewhere that made gluten-free pizza; this was the spot. The gluten-free crust was really good: we got the pizza with artichoke hearts  garlic  and a few other topics: flavorful and fresh.   On another visit  I tried a slice of the veggie pizza  which was equally good. All in all  not the most filling slices in the world but fresh ingredients and friendly staff keep me coming back.
_2E7DVE_tLxjhDHyZdRIug,oA-2YR__3OhNM0Hd2dz21A,1,4,4/13/2012,0,1,1,0,0,1,1,0,We ordered the gluten free California version with chicken sausage. I was  hesitant since the California is all veggies  hence the side of chicken sausage.  My five year old son loved it and is on his third piece as I type. The crust is  very thin and crisp  almost cracker like consistency. Although I liked a charred  crust  it made it hard for my son to eat  especially as he's missing two  incisors. The taste was great  though  fresh yet the veggie flavors melded well  together. I found it cheaper to order a large gluten free pizza and freeze the  extras vs. buying frozen gluten free pizza from the grocery store. This will be  a regular eatery for us.
_ewEvGkaCtNMzhqgg7STLA,vbWlJQldwYuO--NYLFKfeA,4,3,6/1/2010,0,1,0,0,0,1,1,0,If I'm craving pastrami and I'm on foot in Westwood  I will come here.  It's nothing spectacular but I refuse to give a penny more to Jerry's deli.  I will give them an extra star for a decent burger and CHEAP beer though.
_ewEvGkaCtNMzhqgg7STLA,zIq0Rec9-EYoKznTYswZuw,2,4,12/15/2010,0,1,1,0,0,1,1,1,4 stars for the only thing I've ever ordered and will always order:  The Rachel!  Pastrami  swiss cheese  coleslaw  1000 island dressing  on grilled rye bread. For ~$9  you get a pretty filling sandwich + chips (or fries).  It's really good... the pastrami is not lean at all  sometimes a little bit chewy but whatever  it's still yumm.  I tried the sweet potato fries - they were ok  but a little too soggy for take-out.  Their menu is kind of overwhelming  so I don't think I will venture far from my tried and true.  But trust - the Rachel is hella good!  Service has always been really nice.  Overall  I recommend stopping by if you're in the neighborhood.  Tip: Sign up for their frequent buyer card... you save some change every time you order and can buy a pint of their house brew for real cheap (like $2? I think).  That reminds me  you can't drink beer at the tables outside the restaurant =(
_ewEvGkaCtNMzhqgg7STLA,oKonm6MkUQ8vJ8sUIVlyVg,3,2,9/13/2012,1,1,0,0,0,1,0,0,More like 2.5 stars.  I dislike the clusterfuck of toppings on the dogs  burgers and sandwiches.  A cut above many of the other shitty similar places like Pink's  Marty's  and Jeff's  but there is definitely something missing here.  If you order something simple like a hotdog with mustard and onions and some fries  you are not going to be disappointed.  A cold 22oz beer in a plastic cup is available on tap and there are some specials on Monday or game day or something.  Food in Westwood  with the exception of some wonderful Persian places  is not particularly noteworthy.  The Stand  therefore  is right at home here.
_ewEvGkaCtNMzhqgg7STLA,Za35VFCB9QhTgb0Pl13oWg,2,4,8/18/2011,1,1,1,1,0,1,1,1,If you want really good service  this is the place to go. Yes  the food is good  but the whole appeal of this place for me is that I know I will leave satisfied. One time I came here with a friend and ordered something I didn't end up particularly liking. One of the staff members told me that they'd be more than happy to change it for another menu item for me at no charge. I thought that was really awesome  and I ended up loving the chicken sandwich I traded it for.   They have great hot dogs and burgers  and great deals if you have a Stand Card  which is free :) I also love the location  nearby a lot of cool little shops  etc.   I will definitely be back when I'm in the area :)
_ewEvGkaCtNMzhqgg7STLA,#NAME?,1,3,5/15/2011,0,1,0,0,0,1,1,0,I got the Philly Cheese Steak with a large order of sweet potato fries for about $14.  I was disappointed that they were out of their draft root beer which I've heard good things about.  It wasn't the best sandwich I ever had but it wasn't bad.  The fries were pretty good.  I think it would be a good idea to stick to their hot dogs which I hope to try next time!
_ewEvGkaCtNMzhqgg7STLA,R64tASLbS4_ZKntGLrEBYw,4,4,6/23/2012,0,1,0,1,1,1,0,1,Tried The Stand with some co-workers the other day  and was really happy with what I got.  I kind of don''t see the point in paying $5 for a hot dog  and most reviewers didn't seem the like the hot dogs here anyways.  But there was a cilantro lime chicken sandwich on the special menu  and it totally sounded worth getting.    Our food came out quickly  and was very nice.  My sandwich had grilled chicken with red onion  avocado  a creamy cilantro dressing that wasn't too strong on a warmed bun.  Delicious!!!  Instead of fries  I got the homemade potato chips  and they were quite good.  They serve homemade pickle slices that I should have tried  because apparently they are quite good.  But I definitely liked the self-service drinks & the TVs that were playing Golf Channel  so I will be back for sure!
