business_id,name,schools,open,category,subcategory,is_vegetarian,review_count,stars,neighborhoods,url,photo_url,city,state,latitude,longitude
1gmQveOc1_9I-m24g73edg,Sbarro's Restaurant,Harvey Mudd College,yes,Restaurant,American,no,2,1,Harvey Mudd College,http://www.yelp.com/biz/sbarros-restaurant-montclair,http://s3-media4.ak.yelpcdn.com/bphoto/KQsfj-7NrsWAI2-Utvr7DQ/ms.jpg,Montclair,CA,34.0883658,-117.6950076
N_TMJbKGsISp9qZlga7GKw,1865 Restaurant,California Polytechnic State University,no,Steakhouses,American,no,8,1.5,California Polytechnic State University,http://www.yelp.com/biz/1865-restaurant-san-luis-obispo,http://s3-media3.ak.yelpcdn.com/bphoto/ksLQ3AsSZ7LJCc2TeYBLmA/ms.jpg,San Luis Obispo,CA,35.2893533,-120.650854
ckUul-Sm2wbHlAEJ9_RTPg,Coldstone Creamery,California Institute of Technology,yes,Patisserie,Dessert,no,7,1.5,Pasadena,http://www.yelp.com/biz/coldstone-creamery-pasadena,http://s3-media3.ak.yelpcdn.com/bphoto/YTDcn7e8T-F0suB24teMfA/ms.jpg,Pasadena,CA,34.1390627,-118.1323893
caMYd-Rhvrg4_K4BLIMUew,Kfc,Harvey Mudd College,yes,FastFood,American,no,4,1.5,Harvey Mudd College,http://www.yelp.com/biz/kfc-montclair,http://s3-media2.ak.yelpcdn.com/bphoto/3z8rPSiiL25lNM9BzqUY0g/ms.jpg,Montclair,CA,34.0941927,-117.6898242
dzh-SckBSRHi46Nw2dCLTQ,Little Caesar's Pizza,Harvey Mudd College,yes,Restaurant,Pizza,no,2,1.5,Harvey Mudd College,http://www.yelp.com/biz/little-caesars-pizza-claremont,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Claremont,CA,34.089329,-117.7192415
FfVprOqc7cZr68fZ1nKKpg,Mission Grill,California Polytechnic State University,no,Steakhouses,American,no,3,1.5,California Polytechnic State University,http://www.yelp.com/biz/mission-grill-san-luis-obispo,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,San Luis Obispo,CA,35.280307,-120.663485
Rxcjy1BA7y9pAiNJft05jQ,Rincon Azteca Restaurant,Harvey Mudd College,yes,Restaurant,Mexican,no,2,1.5,Harvey Mudd College,http://www.yelp.com/biz/rincon-azteca-restaurant-claremont-2,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Claremont,CA,34.1216081,-117.7051113
FbZXGZDZ_MRaWf8cfrrqdQ,Subway Sandwiches,California Polytechnic State University,yes,FastFood,American,no,3,1.5,California Polytechnic State University,http://www.yelp.com/biz/subway-sandwiches-san-luis-obispo-2,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,San Luis Obispo,CA,35.2939789,-120.6716422
qfdOSe9rUw1uwYIEZZbDjQ,Yoshinoya Beef Bowl Restaurant,Harvey Mudd College,no,Restaurant,American,no,3,1.5,Harvey Mudd College,http://www.yelp.com/biz/yoshinoya-beef-bowl-restaurant-montclair,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Montclair,CA,34.0923612,-117.6982316
_fD2ef-iPSs1rF-o1j0rOg,2 Dogs Coffee Co & Internet Cafe,California Polytechnic State University,no,Cafes,Beverages,no,2,2,California Polytechnic State University,http://www.yelp.com/biz/2-dogs-coffee-co-and-internet-cafe-san-luis-obispo,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,San Luis Obispo,CA,35.2819505,-120.6609805
